iteration,mean_reward,phase_error,altitude_error,anomaly,collision_penalty,coverage_penalty,fault_fraction,anomaly_event_fraction,actor_loss,critic_loss,entropy,approx_kl,clipfrac,explained_var,learning_rate
1,-1.6305979174962035,1.5938012607302383,0.00582558039773952,1.3536416795104742,0.0,1.0,0.0003124999930150807,0.11031249933876097,-0.001816624210083059,3.484311580657959,1.095288814817156,0.0031466651375272442,0.016294642857142858,0.08080821502704472,0.0005
2,-1.7049978531344343,1.6661984132776217,0.00591884191484962,55.12071621417999,0.0,1.0,0.03062499943189323,0.15500000258907676,-0.0007022513076663017,4.523954262052263,1.0883958748408726,0.0008169240251715694,0.002232142857142857,0.06810622978594971,0.0004954545454545455
3,-1.4954540655424593,1.457069039773005,0.00590717894155733,44.5878282841295,0.0,1.0,0.022812499839346856,0.15531250135973096,-0.0016370342612000448,1.0495308978216988,1.0893681866782052,0.002687531493471137,0.01635044642857143,0.020373297436008908,0.0004909090909090909
4,-1.69779354680548,1.6604073739979213,0.005864174730898864,68.82280748523772,0.0,1.0,0.014374999678693712,0.12937500071711838,-0.0013439851613449199,2.2983353751046316,1.0919096878596715,0.0018292377736153348,0.014508928571428572,0.043883440805557505,0.0004863636363636364
5,-1.6810234132143467,1.6422793195811387,0.005929061596744173,36.0070897936821,0.0,1.0,0.025937499420251697,0.14843750186264515,-0.0017665518580802849,2.2779380185263496,1.0928603444780622,0.0020365433401561208,0.006138392857142857,0.019065371101179562,0.00048181818181818184
6,-1.4658743413223176,1.4296861028272838,0.005871590024331648,6.218696935102344,0.0,1.0,0.00468749989522621,0.12593749980442226,-0.0013306833836915237,0.624739522593362,1.0952043976102557,0.0014988465500729426,0.006529017857142857,0.6018197484459029,0.0004772727272727273
7,-1.7283916980628542,1.6910627988206846,0.00587164106738853,43.307209426537156,0.0,1.0,0.015937499643769115,0.13750000135041773,-0.0038437737617641687,2.1388897589274816,1.084266778400966,0.00426272362736719,0.04095982142857143,-0.02743082195236357,0.0004727272727272727
8,-1.5989477710258637,1.5620435145102836,0.005956972896856362,46.93142503499985,0.0,1.0,0.028437499364372343,0.16843750001862645,-0.0024677449571234838,1.8772869995662145,1.086606182370867,0.003346931571806116,0.03309151785714286,-0.09772612314729834,0.0004681818181818182
9,-1.4910731139343243,1.4547762848879486,0.005848147952159679,22.419019173830748,0.0,1.0,0.014374999678693712,0.12781250104308128,-0.0011844375636428594,0.6970775604248047,1.088399887084961,0.0008727144350164703,0.004352678571428572,0.09606352065802892,0.00046363636363636366
10,-1.7765531791577474,1.7412494872634843,0.0058133091840501675,34.07839700579643,0.0,1.0,0.025624999427236617,0.13937500049360096,-0.002727247282330479,2.2408415249415805,1.0856069122041976,0.0036975140550306864,0.035825892857142855,0.04161010129821874,0.0004590909090909091
