iteration,mean_reward,phase_error,altitude_error,anomaly,collision_penalty,coverage_penalty,fault_fraction,anomaly_event_fraction,actor_loss,critic_loss,entropy,approx_kl,clipfrac,explained_var,learning_rate
1,-0.35945142339915037,0.21965373517524073,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001414429640308732,4.561119897024972,1.0984612192426408,0.0001556041506340816,0.0,0.3875729577330014,0.0003
2,-0.600727517157793,0.38230808630849833,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004966088371085269,4.536024139040992,1.0980482385272072,0.0001272399787835422,0.0,-0.4580855019383787,0.00029899497487437184
3,-0.6964757991954684,0.44709018035341125,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002032702323049307,1.8638049477622622,1.0972484406970797,0.0001922323579146039,0.0,0.0990546569728381,0.0002979899497487437
4,-0.4319925610907376,0.2690922166060181,0.0,0.0,0.0,0.0,0.0,0.0,-4.482677295094445e-06,1.3012722986085075,1.0969862654095603,2.5104138157552197e-05,0.0,0.2700370344978802,0.00029698492462311557
5,-0.6898481622338295,0.44173276061176264,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003124540228219259,2.610722314743769,1.0929759740829468,0.0004398406793673833,0.0,-0.017856799424853076,0.00029597989949748743
6,-0.7008228008635342,0.4503962515224831,0.0,0.0,0.0,0.0,0.0,0.0,-0.002987619045944441,1.2454730045227778,1.0791045370556058,0.0068660807751473926,0.10825892857142858,0.02116616215285938,0.00029497487437185924
7,-0.5688715279102325,0.36174008995684964,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015614887566438743,1.3452020145597912,1.0954625833602178,0.0015736622015191685,0.002418154761904762,-0.2217555326806877,0.0002939698492462311
8,-0.9092315770685673,0.5887081456682406,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018384386896200123,3.0593007746196927,1.0678154230117798,0.0036130880360447223,0.03943452380952381,0.016235290424693183,0.000292964824120603
9,-0.7036861861124635,0.4505778358740245,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001486197579652071,0.7167698570660183,1.076389613605681,0.0007067547412589192,9.300595238095238e-05,0.11420548903457617,0.00029195979899497484
10,-0.6398342624306679,0.4091581810195479,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006693002568291766,1.223790821574983,1.0916984648931594,0.00042289620753200284,0.0,-0.12914100186326105,0.0002909547738693467
11,-0.9764759596437216,0.6336538438795016,0.0,0.0,0.0,0.0,0.0,0.0,-0.002553743576364858,2.7581496692839123,1.057647739137922,0.003121190111241525,0.027250744047619048,-0.06235390913651129,0.00028994974874371857
12,-0.5476702072191983,0.34716849231152985,0.0,0.0,0.0,0.0,0.0,0.0,-0.001978265276799599,0.24769697515737443,1.081035886492048,0.0008797865094883102,0.003720238095238095,0.03640963385646834,0.00028894472361809043
13,-0.7030108589679003,0.45234316389570756,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014989826761718308,1.3133060421262468,1.0722962050210862,0.0008048848747941,0.0016741071428571428,-0.045425439165318826,0.0002879396984924623
14,-1.5663831494748592,1.033780739094151,0.0,0.0,0.0,0.0,0.0,0.0,-0.00043005583852174736,3.9008687337239585,1.0125073762167067,0.000617786249633701,0.00018601190476190475,-0.0315797622952354,0.00028693467336683416
15,-0.5109454481862485,0.32317454047782457,0.0,0.0,0.0,0.0,0.0,0.0,-3.8862328178116255e-05,0.15314852127007075,1.0825705982389904,0.0003780236279237128,0.0008370535714285714,0.4197985914453253,0.00028592964824120603
16,-0.9260307718068361,0.6025670272106812,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011738967815680163,1.229851694334121,1.0653791654677618,0.000792748172811809,0.0,-0.02571317244198612,0.0002849246231155779
17,-1.5322835252154619,1.0088293914990443,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023241916094862277,2.586638019198463,0.9987077940078009,0.003122909072165688,0.018973214285714284,0.0931692749260481,0.0002839195979899497
18,-0.47723599150776863,0.3001904867368956,0.0,0.0,0.0,0.0,0.0,0.0,0.00013865559317526363,0.1977228508109138,1.0750178893407185,0.001211682750311281,0.0,0.23112865382146108,0.00028291457286432157
19,-1.0982692576944828,0.7172688696971518,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008192631371674084,1.3641834088734217,1.0387135857627505,0.0013313197608416278,0.0078125,-0.0027221917916022687,0.00028190954773869343
20,-1.562990882433951,1.0281504547877889,0.0,0.0,0.0,0.0,0.0,0.0,8.289855239646775e-05,1.8838487295877366,0.9012223822729928,0.00033919472203013443,0.0,0.16559324664882702,0.0002809045226130653
21,-0.7005200237035751,0.45009766445209043,0.0,0.0,0.0,0.0,0.0,0.0,-0.002052379838590111,0.3989549804301489,1.0636618250892276,0.0027637988705897613,0.011160714285714286,0.04242201827521341,0.00027989949748743716
22,-1.800861943513155,1.190752988894805,0.0,0.0,0.0,0.0,0.0,0.0,-0.001251501330573644,2.507809968221755,0.953471356914157,0.002286934360329594,0.013578869047619048,-0.01592637472888092,0.000278894472361809
23,-1.7384081771597266,1.1479179750008266,0.0,0.0,0.0,0.0,0.0,0.0,-0.00194658332371286,1.2177527234667824,0.9428163965543112,0.001673931788120951,0.013578869047619048,0.08519023696276418,0.0002778894472361809
24,-0.7567975502461195,0.4897731804507581,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006283973232798633,0.24111386778808774,1.0443331684385027,0.0002791939824376078,0.0,0.36673678144399346,0.00027688442211055276
25,-1.6206572130322456,1.0707813971289133,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001956981917222341,1.3899822008042109,0.9658794715290978,0.001296294514932448,0.001209077380952381,-0.11653813085678388,0.0002758793969849246
26,-1.0292152403853834,0.6715043678351661,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018688563057886703,0.22044805614721208,1.0039306055931818,0.0014618116242456295,0.013020833333333334,0.10574199588019129,0.00027487437185929643
27,-0.8193513602018356,0.5336120252907876,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018239958721789576,0.2866792026020232,1.0238018433252971,0.00043065040483183806,0.0005580357142857143,0.2601161436628855,0.0002738693467336683
28,-1.628160323947668,1.0760759922532424,0.0,0.0,0.0,0.0,0.0,0.0,-0.00019067568549265465,1.3563453980854578,0.9683095727648053,0.0011531274677032517,0.0013020833333333333,-0.018579882282413474,0.00027286432160804016
29,-0.633941805921495,0.4040222514390025,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016230799457324402,0.04732192981810797,1.0678689025697254,0.0009522054987471728,0.002976190476190476,0.21562716182268382,0.000271859296482412
30,-0.7924797087907791,0.5154745659548238,0.0,0.0,0.0,0.0,0.0,0.0,0.00019311349162654508,0.25419494864486514,1.0304260480971563,0.00018283113327232145,0.0,0.2930450730826335,0.0002708542713567839
31,-1.3484984512906522,0.8874042577151344,0.0,0.0,0.0,0.0,0.0,0.0,-2.1053001373296692e-05,0.9495263695716858,1.0185728867848713,0.0009017806788462968,0.0,0.07079304706409806,0.00026984924623115576
32,-0.45363312121480703,0.28483290843121345,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008877378755382129,0.07154314645699092,1.0708934920174735,0.0003537306994465845,0.0,-0.01284572411604712,0.0002688442211055276
33,-0.8827948719263077,0.5774291999363387,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003054357532943998,0.35739447247414363,1.011505473227728,0.0005320976765471555,0.0,-0.00041655478235158583,0.0002678391959798995
34,-1.1491708571556956,0.7511777540527294,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024819165756482455,0.6520323724973769,1.03286570026761,0.0021043257909782584,0.017764136904761904,0.15824137060918608,0.00026683417085427135
35,-0.6294316789135337,0.4053201529040522,0.0,0.0,0.0,0.0,0.0,0.0,-0.000926419116911434,0.18472290819599516,1.0474163464137487,0.0004665413372484701,0.0005580357142857143,0.39211880244937913,0.0002658291457286432
36,-1.3119108900427818,0.8638919875875369,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016906959603407554,1.0025582086472284,1.003199319044749,0.0005686952444236903,0.0,-0.06701954554525913,0.0002648241206030151
37,-1.281680844258517,0.839515721202181,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013401394576898643,0.7361705047743661,1.0256596803665161,0.003456120390356297,0.04631696428571429,0.12788504341325457,0.0002638190954773869
38,-0.6242175279185176,0.40233503375750734,0.0,0.0,0.0,0.0,0.0,0.0,-1.7410033338126684e-05,0.1697656526452019,1.0483816521508353,0.00014985312840768268,0.0,0.41454523823816114,0.00026281407035175876
39,-1.2956373505294323,0.8505975594757376,0.0,0.0,0.0,0.0,0.0,0.0,-0.00047587194213909764,1.0054813736961001,1.0311563866479057,0.000554294275519039,0.0,-0.10147136531982226,0.0002618090452261306
40,-1.0320073189213872,0.6711013039395846,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015678188120502802,0.3165786415338516,1.0327771050589425,0.0016217761440202594,0.006603422619047619,0.15178360426077753,0.0002608040201005025
41,-0.9480614736676216,0.6197699288024161,0.0,0.0,0.0,0.0,0.0,0.0,0.000147116281801746,0.5099188075179145,1.0196386462166196,0.00017433640147958483,0.0,-0.01147828355810443,0.00025979899497487435
42,-2.1308166421949863,1.4122818229371807,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004215233549032183,2.7635452974410284,0.9580201591764178,0.0018099598653082336,0.01246279761904762,-0.12173583415058786,0.0002587939698492462
43,-0.8691572556272149,0.5634897468306033,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002451188463185515,0.1176122696626754,1.0464906181607927,0.0005909894770454793,0.0009300595238095238,0.2912061044735331,0.0002577889447236181
44,-0.9452141989022493,0.6179683156646497,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007847912687187394,0.4641703409808023,1.0220719632648287,0.0010711958166211843,0.00390625,0.17607478015646438,0.00025678391959798994
45,-2.289797529578209,1.5183190236815312,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008576711794982353,2.9576919078826904,0.9324046117918832,0.0016227429455500982,0.013671875,-0.05051724878895647,0.00025577889447236176
46,-0.474441857310012,0.29869821758607035,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011145026156944887,0.08134017529941741,1.0653161661965507,0.0008480271180382087,0.0010230654761904762,0.2255136501309688,0.0002547738693467336
47,-1.1344562750309706,0.7448464157510193,0.0,0.0,0.0,0.0,0.0,0.0,-0.000380025411556874,0.6379413860184806,1.0086349078587122,0.0007075308101429116,0.0025111607142857145,-0.04161225179888128,0.0002537688442211055
48,-1.7714907568879426,1.1689437111644323,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008409737326603915,1.6194200969877697,0.9841974406015306,0.0011620933544777689,0.0010230654761904762,0.13524429729439413,0.00025276381909547735
49,-0.47633851133286953,0.30132223171112543,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018672433326996507,0.07778390603406089,1.06205605892908,0.00022351746779999563,0.0,0.5925025824000325,0.0002517587939698492
50,-0.8262022901326418,0.5351635868328786,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001583007009079059,0.29008159041404724,1.0553497019268216,0.0005518232937902212,0.0,-0.13370075366422918,0.0002507537688442211
51,-0.9307970923837274,0.6002526644247035,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008380548984167122,0.3348847585065024,1.018142859141032,0.0005470611753740481,0.0004650297619047619,0.24275728273538444,0.00024974874371859294
